neuron_type,resolution,time_steps,quant_bits,hidden_size,epochs,train_loss,train_acc,test_acc_before_quant,test_acc,quantization_drop
default,4,5,2,128,3,2.300877710723877,11.27,11.7,11.7,0.0
default,4,5,4,128,3,2.3011761810302733,11.27,11.7,11.7,0.0
default,4,5,8,128,3,2.3012533721923827,11.27,11.7,11.7,0.0
default,4,10,2,128,3,2.300850336074829,11.27,11.7,11.7,0.0
default,4,10,4,128,3,2.3011357933044434,10.7,10.25,10.25,0.0
default,4,10,8,128,3,2.300880110168457,10.98,11.7,11.7,0.0
default,4,20,2,128,3,2.300087367248535,12.3,12.15,12.15,0.0
default,4,20,4,128,3,2.3002169261932375,11.27,11.7,11.7,0.0
default,4,20,8,128,3,2.300179982757568,12.22,12.35,12.35,0.0
default,7,5,2,128,3,2.3009616691589354,11.27,11.7,11.7,0.0
default,7,5,4,128,3,2.300642959976196,11.27,11.7,11.7,0.0
default,7,5,8,128,3,2.3012417430877687,10.7,10.25,10.25,0.0
default,7,10,2,128,3,2.301307746887207,11.2,11.7,11.7,0.0
default,7,10,4,128,3,2.300778030014038,11.27,11.7,11.7,0.0
default,7,10,8,128,3,2.3006159885406494,11.27,11.7,11.7,0.0
default,7,20,2,128,3,2.3003885627746583,11.27,11.7,12.7,-1.0
default,7,20,4,128,3,2.300066777420044,11.27,11.7,11.7,0.0
default,7,20,8,128,3,2.299958658218384,11.38,11.7,11.7,0.0
default,14,5,2,128,3,2.3009015575408935,11.11,11.7,11.7,0.0
default,14,5,4,128,3,2.3007479320526123,10.75,11.7,11.7,0.0
default,14,5,8,128,3,2.3007789165496826,10.79,11.7,11.7,0.0
default,14,10,2,128,3,2.3007247299194336,11.27,11.7,11.7,0.0
default,14,10,4,128,3,2.300954978561401,10.53,11.7,11.7,0.0
default,14,10,8,128,3,2.3012216842651365,11.17,11.7,11.7,0.0
default,14,20,2,128,3,2.2998651779174804,11.27,11.7,11.7,0.0
