neuron_type,resolution,time_steps,quant_bits,hidden_size,epochs,train_loss,train_acc,test_acc_before_quant,test_acc,quantization_drop,complexity_score
circuit,4,5,2,32,10,2.300479582595825,11.27,11.7,11.7,0.0,1280
circuit,7,5,2,32,10,2.3005297607421875,11.27,11.7,11.7,0.0,2240
circuit,4,5,4,32,10,2.3005085445404054,11.27,11.7,11.7,0.0,2560
circuit,4,10,2,32,10,2.297834115600586,12.57,12.55,15.2,-2.6499999999999986,2560
circuit,4,5,2,64,10,2.300482235336304,11.27,11.7,11.7,0.0,2560
circuit,7,5,4,32,10,2.3004703308105467,11.27,11.7,11.7,0.0,4480
circuit,7,10,2,32,10,1.9715452489852905,38.23,33.5,35.35,-1.8500000000000014,4480
circuit,14,5,2,32,10,2.3004715885162352,11.27,11.7,11.7,0.0,4480
circuit,7,5,2,64,10,2.30046576423645,11.27,11.7,11.7,0.0,4480
circuit,4,5,8,32,10,2.3004797630310057,11.27,11.7,11.7,0.0,5120
circuit,4,10,4,32,10,2.295149895477295,13.35,13.75,13.9,-0.15000000000000036,5120
circuit,4,20,2,32,10,2.0809150592803953,32.48,28.5,26.25,2.25,5120
circuit,4,5,4,64,10,2.3004554107666015,11.27,11.7,11.7,0.0,5120
circuit,4,10,2,64,10,2.291199291229248,14.46,14.45,15.7,-1.25,5120
circuit,4,5,2,128,10,2.300465915298462,11.27,11.7,11.7,0.0,5120
circuit,7,5,8,32,10,2.300480034637451,11.27,11.7,11.7,0.0,8960
circuit,7,10,4,32,10,1.9792010791778565,41.17,36.95,37.15,-0.19999999999999574,8960
circuit,7,20,2,32,10,1.8092926364898683,58.68,55.0,47.2,7.799999999999997,8960
circuit,14,5,4,32,10,2.30052322845459,11.27,11.7,11.7,0.0,8960
circuit,14,10,2,32,10,1.3600124464035035,73.15,70.0,55.25,14.75,8960
circuit,28,5,2,32,10,2.300468627166748,11.27,11.7,11.7,0.0,8960
circuit,7,5,4,64,10,2.300485864639282,11.27,11.7,11.7,0.0,8960
circuit,7,10,2,64,10,1.8134002086639405,44.66,41.75,44.75,-3.0,8960
circuit,14,5,2,64,10,2.30044196395874,11.27,11.7,11.7,0.0,8960
circuit,7,5,2,128,10,2.300438618850708,11.27,11.7,11.7,0.0,8960
circuit,4,10,8,32,10,2.2982575790405275,12.83,13.45,13.45,0.0,10240
circuit,4,20,4,32,10,2.072724725532532,35.89,31.8,31.15,0.6500000000000021,10240
circuit,4,5,8,64,10,2.300468440628052,11.27,11.7,11.7,0.0,10240
circuit,4,10,4,64,10,2.2926324615478517,14.73,14.45,14.55,-0.10000000000000142,10240
circuit,4,20,2,64,10,1.9353602706909179,37.14,32.75,30.1,2.6499999999999986,10240
circuit,4,5,4,128,10,2.3004805103302,11.27,11.7,11.7,0.0,10240
circuit,4,10,2,128,10,2.2900672050476074,14.43,15.05,17.95,-2.8999999999999986,10240
circuit,7,10,8,32,10,2.01099670791626,36.67,33.15,33.15,0.0,17920
circuit,7,20,4,32,10,1.8310109922409057,57.02,52.45,52.6,-0.14999999999999858,17920
circuit,14,5,8,32,10,2.3004805934906005,11.27,11.7,11.7,0.0,17920
circuit,14,10,4,32,10,1.4046738784790038,68.72,67.2,67.05,0.15000000000000568,17920
circuit,14,20,2,32,10,1.4700667488098145,79.58,76.4,62.35,14.050000000000004,17920
circuit,28,5,4,32,10,2.3004949714660645,11.27,11.7,11.7,0.0,17920
circuit,28,10,2,32,10,1.1051879711151122,85.37,80.8,42.3,38.5,17920
circuit,7,5,8,64,10,2.3004828979492187,11.27,11.7,11.7,0.0,17920
circuit,7,10,4,64,10,1.8222345710754395,46.05,41.8,40.95,0.8499999999999943,17920
circuit,7,20,2,64,10,1.5236632141113282,63.71,58.3,41.65,16.65,17920
circuit,14,5,4,64,10,2.300443593597412,11.27,11.7,11.7,0.0,17920
circuit,14,10,2,64,10,1.000899320411682,77.45,73.55,43.6,29.949999999999996,17920
circuit,28,5,2,64,10,2.3004758056640626,11.27,11.7,11.7,0.0,17920
circuit,7,5,4,128,10,2.3004887840270998,11.27,11.7,11.7,0.0,17920
circuit,7,10,2,128,10,1.6255370365142823,50.11,47.15,49.0,-1.8500000000000014,17920
circuit,14,5,2,128,10,2.300465914154053,11.27,11.7,11.7,0.0,17920
circuit,4,20,8,32,10,2.080965902709961,33.56,29.85,29.6,0.25,20480
circuit,4,10,8,64,10,2.291682278060913,14.2,14.3,14.35,-0.049999999999998934,20480
circuit,4,20,4,64,10,1.941692624092102,36.67,31.05,32.15,-1.0999999999999979,20480
circuit,4,5,8,128,10,2.3004489555358885,11.27,11.7,11.7,0.0,20480
circuit,4,10,4,128,10,2.279039155578613,16.06,15.25,15.6,-0.34999999999999964,20480
circuit,4,20,2,128,10,1.8058718351364136,39.48,34.25,34.9,-0.6499999999999986,20480
circuit,7,20,8,32,10,1.8261071493148804,58.54,54.5,54.6,-0.10000000000000142,35840
circuit,14,10,8,32,10,1.4068959323883057,62.66,60.3,60.3,0.0,35840
circuit,14,20,4,32,10,1.4729379024505616,72.12,70.6,71.1,-0.5,35840
circuit,28,5,8,32,10,2.3004712608337403,11.27,11.7,11.7,0.0,35840
circuit,28,10,4,32,10,1.1125698335647582,84.8,81.2,81.45,-0.25,35840
